Age,Income,Education_Level,Travel_Frequency,Vacation_Budget,Proximity_to_Mountains,Proximity_to_Beaches,Pets,Environmental_Concerns,Preference,Gender_1,Gender_2,Preferred_Activities_1,Preferred_Activities_2,Preferred_Activities_3,Location_1,Location_2,Favorite_Season_1,Favorite_Season_2,Favorite_Season_3
49,102509,2,3,1830,85,111,1,1,1,0,0,0,0,0,0,1,0,1,0
24,55720,1,3,2883,260,53,0,0,0,0,1,0,0,1,0,0,0,0,0
68,45978,2,6,3432,234,62,0,1,0,0,1,0,0,0,0,0,0,0,0
39,79101,1,5,4475,165,190,0,1,0,0,1,0,0,1,0,1,0,1,0
45,44060,0,3,2747,215,236,1,1,1,0,0,1,0,0,0,0,0,1,0
19,109995,3,1,3426,143,100,0,0,0,0,1,1,0,0,0,1,1,0,0
59,22825,1,1,1668,235,92,1,0,0,0,1,1,0,0,0,0,0,1,0
62,20215,2,3,3828,153,253,1,0,1,0,0,0,0,0,1,0,0,1,0
23,31937,0,5,1739,36,56,0,0,1,0,1,1,0,0,1,0,0,0,1
45,20587,2,5,3687,194,201,1,0,1,0,0,0,0,0,1,0,0,0,1
45,22585,3,9,3295,285,141,1,1,0,1,0,0,1,0,0,0,0,0,1
61,87551,2,5,3538,201,237,0,1,0,1,0,0,1,0,1,0,0,0,1
61,82162,3,9,1726,155,189,0,0,0,0,0,0,0,1,0,1,0,0,1
37,118231,3,0,2863,49,285,0,1,1,0,0,1,0,0,1,0,0,0,0
47,93527,0,4,1730,84,274,0,1,1,0,0,0,0,0,0,0,0,1,0
28,39413,0,4,2091,159,12,1,1,0,0,1,1,0,0,0,1,0,0,1
45,90703,3,9,4073,23,56,0,0,1,0,1,0,0,0,1,0,0,0,1
42,22112,0,6,2131,87,242,1,0,1,0,0,1,0,0,0,1,0,1,0
56,83980,3,7,964,44,66,1,0,0,0,0,0,1,0,0,0,1,0,0
50,47366,0,7,2881,295,58,0,1,0,0,1,0,0,1,0,0,0,1,0
18,64532,3,8,1742,6,168,0,0,0,0,1,0,0,1,0,0,0,0,1
44,109460,3,6,3363,196,244,1,0,0,0,0,0,0,1,1,0,0,0,0
69,56587,0,7,2178,193,110,1,1,0,0,1,0,1,0,0,1,0,0,1
30,109854,1,7,3066,108,196,0,0,1,0,1,0,0,0,0,0,1,0,0
58,95401,0,3,4482,295,158,0,1,0,1,0,0,0,1,0,0,1,0,0
20,105122,0,3,3667,161,278,0,0,1,0,0,0,0,0,1,0,0,0,1
56,94267,2,6,1295,8,227,1,1,0,0,0,0,0,1,0,0,1,0,0
23,86900,0,1,2659,6,167,1,0,0,0,1,0,0,1,0,0,0,1,0
25,74794,3,9,1348,190,134,0,0,0,1,0,0,0,0,0,0,1,0,0
44,66295,1,6,853,246,283,1,1,0,0,0,0,1,0,0,0,1,0,0
26,61995,0,8,741,37,149,0,0,0,0,0,0,0,1,1,0,0,0,0
54,84518,3,5,1667,80,167,1,1,1,0,1,0,0,0,1,0,0,1,0
50,25801,0,0,2323,123,38,1,0,0,0,0,0,1,0,1,0,1,0,0
68,39295,3,6,3463,265,287,0,1,1,0,1,0,0,0,1,0,0,0,0
59,86364,3,1,1839,115,145,1,1,0,1,0,0,1,0,1,0,0,1,0
61,55225,1,6,4179,260,74,1,1,0,1,0,0,0,1,1,0,0,0,1
41,63868,2,8,2479,182,159,1,1,0,0,0,1,0,0,0,0,0,1,0
32,78202,1,2,4208,220,92,1,0,0,0,1,0,1,0,1,0,0,1,0
49,55507,1,4,3271,240,268,1,0,0,1,0,0,0,1,0,1,1,0,0
49,67561,2,7,4218,206,182,1,0,0,0,0,0,0,1,1,0,0,0,0
41,102819,3,1,2078,148,19,1,0,0,0,0,0,0,0,1,0,1,0,0
58,58037,3,8,4913,104,157,0,0,1,0,0,0,0,0,0,1,0,1,0
69,46889,3,8,772,277,26,0,1,0,0,1,1,0,0,0,0,0,0,1
66,92579,0,5,3671,64,53,0,0,0,0,1,0,0,0,0,0,0,1,0
66,110758,0,2,797,84,261,1,0,1,1,0,0,0,0,1,0,1,0,0
69,75486,0,7,3417,203,7,0,0,0,0,1,0,1,0,1,0,0,1,0
29,41745,1,5,3780,47,162,1,1,0,0,1,0,0,1,1,0,0,0,0
56,86754,3,3,1908,207,272,0,0,1,0,0,0,0,0,1,0,0,0,0
19,61047,3,0,1304,290,295,1,1,0,0,0,0,1,0,1,0,0,0,0
20,39822,0,8,1305,83,253,1,1,1,1,0,0,0,0,0,0,0,0,0
66,99332,1,7,1347,98,243,1,1,0,0,0,0,0,1,0,1,0,1,0
54,112061,1,9,3810,84,185,1,0,0,0,0,0,0,1,0,0,1,0,0
66,69512,2,7,1734,208,227,1,1,0,0,0,0,0,1,0,1,0,0,1
34,69267,1,1,2120,243,18,1,0,0,0,1,0,1,0,0,0,1,0,0
66,39887,2,2,4211,111,68,1,1,0,0,0,0,1,0,0,0,0,0,0
19,51682,1,3,3530,174,286,0,0,1,1,0,1,0,0,1,0,0,0,1
19,82926,2,1,4031,68,216,0,0,1,1,0,0,0,0,0,0,0,0,1
45,69631,1,1,2738,44,261,0,1,0,0,0,0,0,1,0,1,1,0,0
40,39879,2,7,3135,224,262,0,0,1,0,0,1,0,0,0,0,0,0,0
54,50449,2,3,2329,4,144,1,1,0,1,0,0,0,1,0,0,0,0,1
49,101279,1,4,4592,268,44,0,0,0,0,1,0,0,0,1,0,1,0,0
50,41717,2,2,3557,123,141,1,0,0,0,0,0,1,0,0,1,1,0,0
18,45571,1,0,4954,60,116,0,0,0,1,0,0,1,0,0,0,0,1,0
36,40191,2,4,2617,67,165,1,0,0,0,1,0,1,0,0,0,1,0,0
19,40154,2,7,3367,265,103,0,0,0,1,0,0,1,0,0,1,0,0,1
61,68964,0,6,2775,32,133,1,0,1,0,1,1,0,0,0,1,0,0,1
43,78489,3,0,4063,49,191,1,0,1,1,0,1,0,0,1,0,0,0,1
49,97736,0,2,4929,147,173,1,1,1,1,0,1,0,0,1,0,0,0,1
23,83471,3,6,2400,122,178,1,0,1,0,1,1,0,0,1,0,1,0,0
49,57571,1,0,3142,271,164,1,0,0,0,0,0,1,0,0,0,0,0,0
21,57807,3,9,1349,10,266,0,1,1,1,0,0,0,0,0,0,0,1,0
28,88284,3,0,4229,147,124,1,1,0,0,0,0,1,0,0,1,0,0,1
34,96036,2,6,3099,138,3,1,1,0,1,0,0,0,0,0,0,1,0,0
55,85542,3,7,2970,79,45,0,0,0,0,1,0,1,0,0,0,0,0,0
41,71077,1,4,2505,144,59,1,1,0,0,0,0,0,1,1,0,0,1,0
22,99794,1,8,2543,97,143,1,1,0,0,1,0,1,0,1,0,0,0,1
69,36336,0,7,2112,215,269,0,0,0,0,1,0,0,1,0,0,0,1,0
51,22075,3,7,563,48,146,1,0,0,0,0,0,0,1,0,1,0,1,0
23,90456,1,4,3979,110,7,1,0,0,0,0,0,1,0,0,0,0,0,0
39,81861,1,2,3624,198,89,0,1,0,0,0,0,1,0,0,1,0,0,0
28,119026,0,9,2842,61,217,0,0,0,0,1,0,0,1,0,0,0,0,1
65,34896,0,7,1303,118,279,1,0,0,0,1,0,0,1,0,1,1,0,0
33,32779,0,7,4021,56,152,0,1,1,0,1,1,0,0,0,0,0,0,1
50,38187,2,1,2962,287,232,0,0,0,0,0,0,0,1,0,1,0,1,0
26,83148,2,9,4100,148,187,0,1,1,1,0,0,0,0,1,0,0,0,1
23,72581,2,1,1876,102,264,0,1,1,0,0,1,0,0,0,0,0,0,1
33,96498,0,6,555,80,121,0,0,0,1,0,0,1,0,0,0,0,1,0
46,56320,1,6,4482,27,242,0,0,0,0,1,0,1,0,0,1,0,0,0
20,48972,0,0,3606,78,99,1,1,1,1,0,0,0,0,0,0,0,0,0
37,56228,0,8,1331,161,200,0,0,0,0,0,0,1,0,1,0,0,1,0
53,108994,1,3,1390,123,46,0,0,0,0,0,0,0,1,0,1,0,1,0
36,57026,0,8,4434,267,284,0,1,1,0,0,0,0,0,0,0,0,0,0
43,48526,0,5,1817,170,231,1,1,0,1,0,0,1,0,0,1,0,0,1
20,90766,0,5,4865,205,172,1,1,0,0,0,0,1,0,0,1,0,0,0
36,104638,0,9,2659,291,4,0,1,0,1,0,0,0,0,0,1,0,0,0
37,86805,2,7,2403,261,103,0,1,0,0,1,1,0,0,0,0,0,0,0
49,42307,1,7,2527,273,159,1,0,0,1,0,0,1,0,0,1,0,1,0
24,28615,3,4,3445,223,186,1,1,0,0,1,1,0,0,0,0,1,0,0
69,108487,0,7,2535,72,124,0,0,1,1,0,1,0,0,1,0,1,0,0
58,88284,2,5,1644,51,52,1,1,1,0,1,0,0,0,0,0,1,0,0
50,60182,2,0,2583,268,161,0,1,0,0,0,1,0,0,0,0,0,0,1
57,73969,1,4,4006,29,35,1,0,0,1,0,0,0,1,0,1,1,0,0
56,104699,1,6,4811,176,206,1,0,1,0,1,1,0,0,1,0,0,0,1
35,101676,0,3,3436,275,14,0,0,0,0,0,0,0,0,1,0,0,1,0
57,65469,2,9,4275,6,84,1,0,0,0,0,0,0,1,1,0,0,0,0
18,36935,0,9,2390,261,71,0,0,0,0,1,0,0,1,0,1,0,0,0
28,102832,1,7,2719,243,242,0,1,0,0,1,0,0,1,1,0,0,0,0
45,114280,3,7,4930,149,294,0,0,1,1,0,1,0,0,0,0,1,0,0
42,70534,2,9,3579,153,85,0,1,0,0,1,0,0,1,0,0,1,0,0
67,44981,2,7,4333,43,182,1,0,0,0,1,0,0,1,1,0,0,0,1
40,109655,3,7,4387,76,235,1,1,0,0,0,0,1,0,0,1,1,0,0
48,108893,3,7,4977,176,186,1,0,0,0,1,0,1,0,0,0,1,0,0
47,102574,3,7,1732,189,191,1,0,1,0,1,1,0,0,0,1,0,1,0
59,62359,1,2,3429,152,3,0,1,0,0,1,1,0,0,1,0,0,1,0
52,103509,1,0,4955,98,232,1,0,0,0,0,0,1,0,0,0,0,1,0
24,116911,2,9,3853,162,1,0,1,0,0,0,0,0,0,0,1,0,0,1
33,29939,1,0,2618,262,236,1,1,0,0,0,0,0,1,0,1,1,0,0
43,24056,3,7,2173,146,82,0,1,0,0,0,0,0,0,0,1,0,0,1
65,79111,1,2,4808,242,91,0,1,0,1,0,0,0,0,0,1,0,0,0
69,81847,0,6,4495,288,97,0,1,0,0,0,0,0,1,0,1,0,1,0
66,82031,0,9,2818,214,170,0,1,0,0,0,0,0,0,0,0,0,0,0
19,113042,2,3,1763,7,98,1,1,1,1,0,1,0,0,0,1,0,0,0
18,47343,0,5,1784,208,233,1,1,1,1,0,1,0,0,0,0,0,1,0
65,85401,1,6,3105,242,10,1,0,0,1,0,1,0,0,0,0,1,0,0
29,58296,3,0,1985,140,38,0,1,0,0,1,0,1,0,0,1,0,1,0
22,33438,0,0,4386,186,177,1,0,0,0,0,0,1,0,1,0,0,0,0
54,94669,1,7,4522,266,230,0,0,0,0,1,1,0,0,1,0,0,0,1
49,81295,3,6,509,287,2,1,1,0,1,0,0,1,0,1,0,0,1,0
26,46496,2,2,3378,0,249,0,1,1,1,0,0,0,0,0,0,0,0,1
58,47057,3,9,1593,220,129,1,0,0,1,0,0,0,0,0,1,0,1,0
52,49818,0,7,714,211,12,1,0,0,1,0,0,1,0,0,1,0,1,0
36,105169,3,9,2445,225,56,0,0,0,0,1,0,1,0,1,0,0,1,0
65,77248,2,2,1579,149,252,0,0,0,1,0,0,0,1,0,0,0,0,1
33,40208,3,1,4273,258,73,0,1,0,0,0,0,1,0,0,0,0,0,0
20,119443,1,1,1093,170,183,1,1,1,0,0,0,0,0,0,0,1,0,0
37,88422,0,6,4188,29,58,0,0,0,0,0,0,0,1,0,0,0,0,0
41,38149,2,2,1180,265,78,0,0,0,0,1,1,0,0,0,0,1,0,0
50,27835,0,0,4291,164,111,0,0,0,1,0,0,0,1,1,0,0,0,1
41,29375,1,5,3595,154,113,1,0,0,0,1,0,0,0,0,0,1,0,0
69,105511,0,8,1067,259,264,0,1,1,0,0,1,0,0,1,0,0,1,0
28,51531,0,3,3702,234,251,1,1,1,1,0,0,0,0,0,0,1,0,0
66,56959,3,8,3817,51,113,0,1,1,0,1,0,0,0,0,1,1,0,0
25,74395,0,0,4777,246,295,0,0,1,1,0,1,0,0,0,1,0,0,1
53,115087,1,2,2335,131,150,1,0,0,1,0,0,1,0,1,0,0,0,1
55,60642,1,7,1190,205,276,1,0,0,0,1,0,0,1,0,0,0,0,1
57,72870,1,7,781,21,190,0,0,1,0,0,1,0,0,0,0,0,0,1
37,58021,2,5,4747,251,4,1,1,0,0,1,0,0,1,0,0,0,1,0
52,22524,2,5,2474,215,17,1,0,0,0,1,0,1,0,0,0,0,0,1
65,87756,1,5,4661,149,98,0,1,0,0,0,1,0,0,0,0,0,0,1
42,66778,0,9,4829,146,271,0,0,1,0,1,1,0,0,1,0,0,1,0
52,110426,3,5,3127,126,58,0,0,0,1,0,0,0,0,1,0,0,0,0
42,114040,3,2,2593,52,98,1,0,1,0,0,1,0,0,0,0,0,1,0
46,91460,2,1,1873,293,97,1,0,0,0,1,0,1,0,1,0,0,0,1
